iter	RMSE
0	0.4417850732
1	0.4399428831
2	0.4386350137
3	0.4370934574
4	0.4358055735
5	0.4347092629
6	0.433864869
7	0.4329975123
8	0.4322977577
9	0.4317518104
10	0.4312210781
11	0.4304845202
12	0.4296474534
13	0.4290672796
14	0.4283090033
15	0.4275837673
16	0.4271379545
17	0.4265241089
18	0.4258820417
19	0.4254194386
20	0.4248583351
21	0.4243810153
22	0.4239708968
23	0.4236296322
24	0.4231446878
25	0.4230666519
26	0.4227413026
27	0.4224972115
28	0.4221914008
29	0.4216133548
30	0.4211946938
31	0.4207862694
32	0.4202796237
33	0.4199450574
34	0.4196163175
35	0.419274594
36	0.4189041764
37	0.4186271223
38	0.4184374394
39	0.4181622563
40	0.4179877759
41	0.4178738199
42	0.4176640043
43	0.4174675344
44	0.4171442086
45	0.4170393692
46	0.4167224271
47	0.4163663709
48	0.4158815705
49	0.4153462836
50	0.415215154
51	0.4149666916
52	0.4147077779
53	0.414516783
54	0.4141605995
55	0.4139972806
56	0.4138972659
57	0.4135978927
58	0.4135920662
59	0.4134069388
60	0.4131410731
61	0.4127434993
62	0.4125306797
63	0.4123624255
64	0.4121128878
65	0.4118058167
66	0.4114241698
67	0.411247712
68	0.4111070696
69	0.4109192766
70	0.410668125
71	0.4104316463
72	0.4104061046
73	0.4102743444
74	0.4101696306
75	0.4099966297
76	0.4097204079
77	0.4094018412
78	0.4092007766
79	0.4090440574
80	0.4088094883
81	0.408646422
82	0.4085123157
83	0.4083859426
84	0.4080157012
85	0.4079529914
86	0.4077861256
87	0.4076909286
88	0.4075791054
89	0.4071714925
90	0.4069428747
91	0.4065978843
92	0.4061645302
93	0.4059808593
94	0.4057726937
95	0.4054614538
96	0.4051846578
97	0.4051101097
98	0.4048721927
99	0.4043678632
100	0.4042607536
101	0.4040723161
102	0.4039124217
103	0.4037529605
104	0.4032983517
105	0.4029184696
106	0.4027408548
107	0.4026204291
108	0.402411517
109	0.4023640375
110	0.4021694687
111	0.4017532218
112	0.4014460182
113	0.4011451495
114	0.4009961918
115	0.4007515124
116	0.4005804147
117	0.4001326739
118	0.3998491825
119	0.3996479641
120	0.3994938912
121	0.3992805755
122	0.3991261011
123	0.3988191858
124	0.3985108281
125	0.3983307464
126	0.3981947341
127	0.3977257286
128	0.3973883768
129	0.3971427663
130	0.3970806233
131	0.3969993239
132	0.3968943138
133	0.3964636952
134	0.3963108509
135	0.3961270248
136	0.3958823654
137	0.3955594282
138	0.3952338532
139	0.3950458752
140	0.3949104047
141	0.3946816834
142	0.394208217
143	0.3941276683
144	0.3940502561
145	0.3937696579
146	0.3936647538
147	0.393430011
148	0.3931103766
149	0.3928041031
150	0.3926795909
151	0.392593807
152	0.3924629531
153	0.3923463825
154	0.3920748028
155	0.3918695205
156	0.3914932636
157	0.3912692661
158	0.3911110566
159	0.3906618041
160	0.3904087502
161	0.3901869303
162	0.3899963625
163	0.3898699397
164	0.3895266791
165	0.3892796673
166	0.3891480981
167	0.3888920621
168	0.3887117146
169	0.3885184032
170	0.3883382268
171	0.388095184
172	0.3878689746
173	0.3875362966
174	0.3874397235
175	0.3871599792
176	0.3868625506
177	0.3864483107
178	0.3860505145
179	0.3859185806
180	0.3858066023
181	0.3857687858
182	0.3855987458
183	0.3854319845
184	0.3853263958
185	0.3850980529
186	0.3850835559
187	0.3848642518
188	0.3846382252
189	0.3843627541
190	0.3842734939
191	0.3841638197
192	0.3838422647
193	0.3837625245
194	0.3836775116
195	0.3833441406
196	0.3830136741
197	0.3827733327
198	0.3826587166
199	0.3824027178
200	0.3821715242
201	0.3820695981
202	0.3819288033
203	0.3817059217
204	0.3813929961
205	0.3812168351
206	0.3809481424
207	0.3807854366
208	0.3806190409
209	0.3803603922
210	0.3803223738
211	0.3801765669
212	0.3798098282
213	0.3797603296
214	0.3795342369
215	0.3793771514
216	0.3789665751
217	0.3788565363
218	0.3785549594
219	0.3782350624
220	0.3779322551
221	0.3778036777
222	0.3776353991
223	0.3775678008
224	0.377393865
225	0.3770828683
226	0.3769501093
227	0.3769289741
228	0.3765753846
229	0.3765251049
230	0.3763656165
231	0.3763359914
232	0.3762054732
233	0.3760475821
234	0.3760377655
235	0.3757724791
236	0.3754861691
237	0.3753131298
238	0.3751455253
239	0.3751042042
240	0.3750079745
241	0.3749151847
242	0.3748662546
243	0.3747574312
244	0.3745688905
245	0.3742627666
246	0.3740096852
247	0.3738163318
248	0.3737155846
249	0.3734514401
250	0.3733176148
251	0.3731915788
252	0.3729022144
253	0.3726380284
254	0.3725579129
255	0.3723601781
256	0.3722297587
257	0.3720504988
258	0.3719425521
259	0.3719027664
260	0.3718330167
261	0.3717708529
262	0.3716312681
263	0.371471292
264	0.3712285069
265	0.3710088397
266	0.3708554912
267	0.3708338709
268	0.3707750973
269	0.370524863
270	0.3703362499
271	0.3702717613
272	0.3701182566
273	0.3699381638
