iter	Passed	Remaining
0	6	6236
1	11	5850
2	19	6465
3	24	6081
4	28	5769
5	34	5749
6	39	5641
7	44	5562
8	50	5599
9	55	5499
10	60	5460
11	66	5439
12	70	5387
13	75	5310
14	81	5347
15	87	5364
16	92	5344
17	98	5353
18	105	5443
19	110	5402
20	118	5524
21	124	5545
22	130	5549
23	136	5536
24	143	5577
25	145	5456
26	151	5450
27	156	5421
28	160	5387
29	166	5374
30	171	5373
31	177	5361
32	182	5352
33	188	5345
34	193	5325
35	198	5325
36	204	5325
37	209	5295
38	214	5277
39	219	5270
40	225	5270
41	231	5280
42	237	5280
43	243	5289
44	249	5288
45	252	5243
46	256	5210
47	262	5210
48	268	5204
49	274	5211
50	279	5204
51	285	5196
52	289	5180
53	294	5165
54	299	5143
55	304	5137
56	309	5125
57	314	5100
58	316	5054
59	321	5044
60	327	5046
61	333	5039
62	337	5017
63	342	5004
64	346	4987
65	351	4971
66	356	4966
67	362	4968
68	367	4963
69	373	4955
70	378	4956
71	384	4952
72	385	4897
73	391	4893
74	396	4893
75	401	4878
76	408	4899
77	416	4919
78	424	4948
79	429	4944
80	435	4941
81	441	4941
82	446	4937
83	452	4939
84	458	4934
85	463	4931
86	468	4919
87	474	4913
88	480	4915
89	485	4912
90	490	4903
91	495	4894
92	501	4886
93	506	4884
94	513	4892
95	519	4887
96	524	4881
97	529	4874
98	535	4871
99	540	4868
100	546	4862
101	552	4867
102	557	4859
103	563	4855
104	568	4848
105	575	4850
106	580	4845
107	586	4846
108	592	4839
109	598	4838
110	603	4830
111	608	4827
112	614	4825
113	620	4821
114	626	4817
115	631	4815
116	637	4812
117	642	4805
118	648	4803
119	654	4800
120	660	4800
121	666	4797
122	672	4792
123	678	4795
124	687	4809
125	696	4829
126	704	4840
127	711	4849
128	717	4844
129	727	4867
130	733	4865
131	740	4869
132	752	4906
133	760	4912
134	767	4917
135	774	4921
136	790	4976
137	799	4996
138	806	4997
139	814	5003
140	820	4998
141	828	5003
142	833	4997
143	842	5005
144	849	5008
145	857	5016
146	865	5022
147	873	5027
148	879	5021
149	884	5010
150	892	5017
151	899	5015
152	906	5019
153	914	5021
154	919	5012
155	929	5029
156	935	5024
157	945	5037
158	950	5029
159	959	5036
160	965	5031
161	972	5030
162	980	5035
163	985	5025
164	994	5033
165	1001	5033
166	1011	5044
167	1016	5034
168	1026	5047
169	1034	5048
170	1043	5057
171	1049	5052
172	1056	5049
173	1063	5050
174	1069	5041
175	1079	5055
176	1086	5050
177	1093	5051
178	1099	5043
179	1106	5041
180	1113	5038
181	1118	5028
182	1125	5023
183	1130	5013
184	1136	5006
185	1141	4996
186	1147	4986
187	1152	4976
188	1157	4967
189	1163	4959
190	1168	4951
191	1174	4944
192	1180	4935
193	1185	4925
194	1190	4914
195	1195	4902
196	1200	4892
197	1205	4883
198	1211	4875
199	1215	4863
200	1221	4857
201	1227	4849
202	1233	4844
203	1240	4842
204	1247	4837
205	1253	4829
206	1257	4818
207	1263	4811
208	1269	4805
209	1274	4796
210	1279	4784
211	1284	4776
212	1291	4770
213	1297	4763
214	1302	4755
215	1307	4747
216	1314	4741
217	1319	4733
218	1324	4723
219	1330	4715
220	1335	4707
221	1340	4696
222	1345	4688
223	1350	4678
224	1356	4671
225	1361	4663
226	1366	4654
227	1372	4648
228	1378	4639
229	1384	4634
230	1389	4626
231	1397	4626
232	1403	4620
233	1410	4616
234	1416	4612
235	1424	4610
236	1431	4609
237	1439	4607
238	1444	4599
239	1451	4595
240	1458	4594
241	1464	4586
242	1469	4576
243	1474	4569
244	1479	4558
245	1484	4548
246	1489	4541
247	1495	4533
248	1500	4525
249	1506	4518
250	1511	4510
251	1516	4501
252	1522	4495
253	1528	4489
254	1533	4481
255	1539	4475
256	1546	4469
257	1551	4460
258	1557	4454
259	1562	4446
260	1568	4439
261	1573	4433
262	1578	4424
263	1583	4414
264	1589	4409
265	1594	4401
266	1600	4393
267	1607	4389
268	1614	4386
269	1620	4381
270	1626	4374
271	1631	4366
272	1636	4358
273	1643	4353
